city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,70.0,2,1,1,7,accept,furnished,2065.0,5618.0
Sao Paulo,320.0,4,4,0,20,accept,not furnished,1200.0,7973.0
Porto Alegre,80.0,1,1,1,6,accept,not furnished,1000.0,3841.0
Porto Alegre,51.0,2,1,0,2,accept,not furnished,270.0,1421.0
Sao Paulo,25.0,1,1,0,1,not accept,not furnished,0.0,836.0
Sao Paulo,376.0,3,3,7,0,accept,not furnished,0.0,8955.0
Rio de Janeiro,72.0,2,1,0,7,accept,not furnished,740.0,2750.0
Sao Paulo,213.0,4,4,4,4,accept,not furnished,2254.0,7253.0
Sao Paulo,152.0,2,2,1,3,accept,furnished,1000.0,16440.0
Rio de Janeiro,35.0,1,1,0,2,accept,furnished,590.0,2955.0
Sao Paulo,26.0,1,1,0,2,accept,furnished,470.0,2747.0
Campinas,46.0,1,1,1,10,accept,not furnished,550.0,1181.0
Sao Paulo,36.0,1,1,0,11,accept,not furnished,359.0,2556.0
Sao Paulo,55.0,1,1,1,2,accept,furnished,790.0,5268.0
Sao Paulo,100.0,2,2,2,24,accept,furnished,900.0,5343.0
Campinas,330.0,4,6,6,0,accept,furnished,680.0,9129.0
Sao Paulo,110.0,2,2,1,1,accept,not furnished,700.0,3861.0
Rio de Janeiro,88.0,2,3,1,9,not accept,furnished,1614.0,5351.0
Rio de Janeiro,56.0,2,1,0,8,accept,not furnished,800.0,2036.0
Sao Paulo,600.0,4,5,6,0,accept,not furnished,0.0,21680.0
Sao Paulo,100.0,7,4,0,0,accept,not furnished,0.0,3976.0
Belo Horizonte,42.0,1,1,1,17,not accept,furnished,470.0,3368.0
Sao Paulo,160.0,3,2,2,18,accept,furnished,1530.0,3622.0
Sao Paulo,35.0,1,1,0,0,accept,not furnished,0.0,1117.0
Rio de Janeiro,90.0,3,2,1,7,accept,not furnished,800.0,2742.0
Sao Paulo,49.0,1,1,1,10,accept,not furnished,480.0,4067.0
Sao Paulo,41.0,1,1,1,5,not accept,furnished,600.0,3639.0
