Type,Dim,Model,Acc,Acc_std,AUC,AUC_std,Time
independent,5,TabPFN,0.868,0.023420076857260733,0.9423,0.01074512680241607,0.3705552101135254
independent,5,SVM,0.8630000000000001,0.017916472867168926,0.9333174999999999,0.014338635744030898,0.14230284690856934
independent,5,RF,0.8560000000000001,0.018275666882497044,0.9287099999999999,0.013831488983475328,0.310957145690918
causal,5,TabPFN,0.9804999999999999,0.005338539126015652,0.9987598203445159,0.0006847286939232075,0.11964616775512696
causal,5,SVM,0.9730000000000001,0.006403124237432868,0.9977596784459021,0.0013234704787779827,0.05587944984436035
causal,5,RF,0.9615,0.007176350047203673,0.9959519264046632,0.001710744783201428,0.24123067855834962
independent,10,TabPFN,0.95,0.006708203932499375,0.9907450000000001,0.002582702073410718,0.6954142093658447
independent,10,SVM,0.943,0.005787918451395085,0.986925,0.0032142261899250004,0.08858351707458496
independent,10,RF,0.932,0.017131841699011798,0.9852525,0.00503543319884199,0.5325029373168946
causal,10,TabPFN,0.9790000000000001,0.004898979485566361,0.9986348758628957,0.00041496723218282687,0.17388672828674318
causal,10,SVM,0.9629999999999999,0.008860022573334675,0.9964646618415685,0.0012710429887598184,0.10986943244934082
causal,10,RF,0.9465000000000001,0.011895377253370303,0.9912292841824495,0.0011932345894946214,0.5879063606262207
independent,25,TabPFN,0.99,0.006519202405202672,0.9995100000000001,0.0004442971978304713,0.3133677005767822
independent,25,SVM,0.9884999999999999,0.005385164807134517,0.9993649999999998,0.000558256213579427,0.11624245643615723
independent,25,RF,0.986,0.0053851648071345,0.9990075,0.0005342401145553035,0.6689311981201171
causal,25,TabPFN,0.9894999999999999,0.0018708286933869663,0.9995997644836546,0.00015421385666100732,0.22343711853027343
causal,25,SVM,0.9705,0.007314369419163905,0.9968231213686224,0.00148186205508866,0.05484952926635742
causal,25,RF,0.9870000000000001,0.00244948974278318,0.9988943523000196,0.000968101759465843,0.4187305927276611
independent,50,TabPFN,0.999,0.001224744871391563,0.999985,3.00000000000189e-05,0.42551412582397463
independent,50,SVM,0.999,0.001224744871391563,0.99999,1.9999999999997796e-05,0.0708010196685791
independent,50,RF,0.9969999999999999,0.0036742346141747737,0.99993,0.00013383758814324048,0.9080516338348389
causal,50,TabPFN,0.9780000000000001,0.007483314773547879,0.9985697288190473,0.00058390338896417,0.22291393280029298
causal,50,SVM,0.8395000000000001,0.014949916387726057,0.9197841972939761,0.013693042131314656,0.2377993106842041
causal,50,RF,0.9470000000000001,0.0043011626335213325,0.9900030926050271,0.0027749750170011434,0.5988884925842285
independent,100,TabPFN,1.0,0.0,1.0,0.0,0.791332483291626
independent,100,SVM,1.0,0.0,1.0,0.0,0.1033203125
independent,100,RF,1.0,0.0,1.0,0.0,1.2884753227233887
causal,100,TabPFN,0.9809999999999999,0.0012247448713916173,0.9991046795052696,0.0004461257701708216,0.429683780670166
causal,100,SVM,0.8019999999999999,0.011979148550710925,0.8628174887143724,0.007901250628752075,0.43714656829833987
causal,100,RF,0.96,0.009354143466934856,0.9951057821168027,0.0019269218764186003,0.9245529174804688
