Dataset,Samples,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,AVG,STD
dataset_3.csv,3196,0.992492163,0.9909277038,0.9918661834,0.991234326,0.9931181426,0.9915517241,0.9934277038,0.9921777038,0.9915527038,0.9931142241,0.992146,0.000866
dataset_11.csv,625,0.8304915515,0.8353046595,0.8352534562,0.8352534562,0.8335125448,0.8416026626,0.82875064,0.8256016385,0.8191756272,0.8224270353,0.830737,0.006836
dataset_12.csv,2000,0.9685,0.968,0.9705,0.9715,0.9705,0.9705,0.973,0.97,0.9715,0.9725,0.970650,0.001582
dataset_14.csv,2000,0.831,0.8315,0.836,0.835,0.8375,0.836,0.839,0.829,0.8335,0.8335,0.834200,0.003102
dataset_15.csv,699,0.9684679089,0.9699171843,0.9671014493,0.9699792961,0.9685093168,0.9713250518,0.9699792961,0.9699585921,0.9713871636,0.9699792961,0.969660,0.001313
dataset_16.csv,2000,0.965,0.963,0.9635,0.966,0.9645,0.967,0.963,0.9655,0.9645,0.966,0.964800,0.001358
dataset_18.csv,2000,0.7085,0.703,0.708,0.7075,0.7075,0.7125,0.702,0.6985,0.7055,0.7025,0.705550,0.004065
dataset_22.csv,2000,0.7765,0.782,0.7795,0.774,0.7745,0.781,0.776,0.7785,0.779,0.7775,0.777850,0.002646
dataset_23.csv,1473,0.5180364038,0.5200312557,0.520702335,0.5329380401,0.5186247472,0.526135319,0.527546424,0.5294861188,0.5315453208,0.5207299136,0.524578,0.005603
dataset_28.csv,5620,0.984519573,0.9848754448,0.9848754448,0.9839857651,0.9848754448,0.9838078292,0.9852313167,0.9841637011,0.9834519573,0.984519573,0.984431,0.000564
dataset_31.csv,1000,0.766,0.759,0.763,0.765,0.768,0.773,0.757,0.758,0.76,0.76,0.762900,0.005087
dataset_32.csv,10992,0.992176276,0.9922670196,0.9927221441,0.9927225577,0.9927217305,0.9927221441,0.9924494168,0.9925395814,0.9924491687,0.9928130532,0.992558,0.000218
dataset_37.csv,768,0.7630211893,0.7681989064,0.7721462748,0.7693438141,0.7630553657,0.7734278879,0.7669856459,0.7708475735,0.7668831169,0.762987013,0.767690,0.003834
dataset_44.csv,4601,0.9545788928,0.9534895784,0.954573234,0.9545746487,0.9541389229,0.9552272942,0.9537027256,0.9547915684,0.9541393945,0.9547934547,0.954401,0.000531
dataset_46.csv,3190,0.9539184953,0.9554858934,0.9573667712,0.95830721,0.9576802508,0.9579937304,0.9551724138,0.9579937304,0.955799373,0.9576802508,0.956740,0.001514
dataset_50.csv,958,0.9582785088,0.9561403509,0.9645394737,0.956129386,0.9634758772,0.9604057018,0.9582675439,0.9561842105,0.9634649123,0.9644517544,0.960134,0.003573
dataset_54.csv,846,0.7519187675,0.7481932773,0.7505882353,0.7482352941,0.7623809524,0.7528991597,0.7364145658,0.73767507,0.754047619,0.7493977591,0.749175,0.007590
dataset_151.csv,45312,0.9124515328,0.9127605299,0.9120761254,0.9127384598,0.9122307481,0.9134225429,0.9125838662,0.912385444,0.9132682756,0.9131796297,0.912710,0.000455
dataset_182.csv,6430,0.9209953344,0.9211508554,0.9205287714,0.9208398134,0.9203732504,0.9191290824,0.9188180404,0.9192846034,0.9208398134,0.9205287714,0.920249,0.000848
