Dataset,Samples,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,AVG,STD
dataset_3.csv,3196,0.9937431426,0.9946816223,0.9937411834,0.9940566223,0.993117163,0.994367163,0.9949931426,0.9940527038,0.9943652038,0.993742163,0.99409,0.00054
dataset_11.csv,625,0.9743983615,0.9760112647,0.9759600614,0.9743983615,0.9743727599,0.9760368664,0.9727598566,0.9792370712,0.9759344598,0.9744751664,0.97536,0.00173
dataset_12.csv,2000,0.98,0.98,0.9815,0.9815,0.982,0.9815,0.981,0.9785,0.979,0.9795,0.98045,0.00121
dataset_14.csv,2000,0.8855,0.8915,0.891,0.8945,0.886,0.8895,0.8905,0.89,0.887,0.8925,0.88980,0.00289
dataset_15.csv,699,0.9656521739,0.9685507246,0.9656728778,0.9642236025,0.9699171843,0.9671014493,0.9671014493,0.962815735,0.9656935818,0.9641614907,0.96609,0.00214
dataset_16.csv,2000,0.9805,0.98,0.9795,0.981,0.9835,0.9805,0.979,0.9785,0.981,0.9795,0.98030,0.00140
dataset_18.csv,2000,0.758,0.7515,0.755,0.7555,0.7505,0.7515,0.752,0.7565,0.755,0.7555,0.75410,0.00253
dataset_22.csv,2000,0.8835,0.87,0.8685,0.8715,0.8715,0.874,0.8725,0.87,0.878,0.8785,0.87380,0.00475
dataset_23.csv,1473,0.5566556352,0.5620610406,0.5586872587,0.571594043,0.5594043023,0.5628470307,0.5621483729,0.5600340136,0.5648372863,0.5607832322,0.56191,0.00411
dataset_28.csv,5620,0.9870106762,0.987366548,0.987366548,0.9889679715,0.9882562278,0.9882562278,0.9866548043,0.987366548,0.9871886121,0.987366548,0.98758,0.00070
dataset_31.csv,1000,0.757,0.761,0.759,0.77,0.757,0.762,0.759,0.765,0.762,0.766,0.76180,0.00418
dataset_32.csv,10992,0.9967250393,0.9970885102,0.9968159484,0.9971798329,0.9969980974,0.9967254529,0.9968158657,0.9967246257,0.997270742,0.9967250393,0.99691,0.00021
dataset_37.csv,768,0.7630041012,0.7720950103,0.758885851,0.7630382775,0.7682330827,0.7681818182,0.7655844156,0.7642686261,0.760355434,0.7630553657,0.76467,0.00396
dataset_44.csv,4601,0.960226351,0.9589234179,0.9578369329,0.9597910969,0.959573234,0.9600094313,0.9604423276,0.95979204,0.9587083844,0.9587079129,0.95940,0.00082
dataset_46.csv,3190,0.9699059561,0.9689655172,0.968338558,0.9686520376,0.9705329154,0.9667711599,0.968338558,0.9689655172,0.9699059561,0.968338558,0.96887,0.00107
dataset_50.csv,958,0.9853947368,0.9854057018,0.9864144737,0.9853947368,0.9853947368,0.9843421053,0.9833004386,0.9864254386,0.9843092105,0.984375,0.98508,0.00099
dataset_54.csv,846,0.8581792717,0.8723669468,0.8570168067,0.8770308123,0.8723389356,0.8723529412,0.8653501401,0.8734313725,0.871162465,0.8653221289,0.86846,0.00673
dataset_151.csv,45312,0.8762579615,0.8758163728,0.8760594857,0.876456447,0.8755738394,0.8752426259,0.8757284378,0.876743564,0.8757943318,0.8759930852,0.87597,0.00044
dataset_182.csv,6430,0.932192846,0.932192846,0.9314152411,0.931881804,0.9307931571,0.932348367,0.9307931571,0.9301710731,0.933281493,0.932348367,0.93174,0.00094
dataset_188.csv,736,0.7296001481,0.7161421696,0.721436505,0.724176231,0.7187708256,0.7213439467,0.7118474639,0.7257497223,0.7282673084,0.720122177,0.72175,0.00545
dataset_458.csv,841,1,1,1,1,1,1,1,1,1,1,1.00000,0.00000
dataset_469.csv,797,0.2094778481,0.2107911392,0.192056962,0.2159493671,0.194556962,0.2095727848,0.1981487342,0.2019936709,0.2071360759,0.212056962,0.20517,0.00803
dataset_1049.csv,1458,0.9231979216,0.912895607,0.9197590931,0.9074114313,0.9197307511,0.9224846481,0.9211195087,0.9163297119,0.9169957487,0.9149645725,0.91749,0.00485
dataset_1050.csv,1563,0.8957128858,0.8976318798,0.893785726,0.8963539115,0.9014821166,0.8982851543,0.8950800261,0.8925281725,0.8976359628,0.8976318798,0.89661,0.00253
dataset_1053.csv,10885,0.813964427,0.8152502633,0.8150673682,0.8147003963,0.8153420063,0.8150659334,0.8139654398,0.8141475754,0.8151586048,0.8146996367,0.81474,0.00053
dataset_1063.csv,522,0.8429608128,0.8468069666,0.8409651669,0.8429608128,0.8467706821,0.840892598,0.8427793904,0.848838897,0.8486574746,0.8467706821,0.84484,0.00305
dataset_1067.csv,2109,0.8667546829,0.867235387,0.8644008125,0.8681764839,0.8639201083,0.8615368991,0.8667614534,0.8658090724,0.8667569397,0.8658090724,0.86572,0.00195
dataset_1068.csv,1109,0.9368877969,0.9422932023,0.9431941032,0.9422932023,0.9422932023,0.9386977887,0.9404832105,0.9405077805,0.9404832105,0.9395823096,0.94067,0.00194
dataset_4134.csv,3751,0.7701929078,0.7656496454,0.7685900709,0.7645943262,0.7688652482,0.7699234043,0.7675319149,0.7715404255,0.7680666667,0.7664716312,0.76814,0.00215
dataset_1510.csv,569,0.9735902256,0.9701441103,0.9754385965,0.971773183,0.9771616541,0.9701754386,0.9719298246,0.9753759398,0.9754072682,0.9789473684,0.97399,0.00297
dataset_1489.csv,5404,0.9170989936,0.9139508455,0.9148723215,0.9167248579,0.9143212159,0.9163558568,0.9145067433,0.9148788252,0.9148839597,0.9150667488,0.91527,0.00107
dataset_1494.csv,1055,0.876720575,0.8777448338,0.8843486074,0.8844115004,0.8814734951,0.87868823,0.8730458221,0.8786522911,0.8786343217,0.8786433064,0.87924,0.00343
dataset_1497.csv,5456,0.9908344255,0.991935679,0.9912037504,0.991019256,0.9921195013,0.9917525288,0.9919326545,0.9917511846,0.9912024062,0.9921191652,0.99159,0.00048
dataset_1501.csv,1593,0.9410141509,0.9384669811,0.9403459119,0.9441430818,0.9410141509,0.9334355346,0.9409866352,0.9397327044,0.9434944969,0.9428970126,0.94055,0.00304
dataset_1480.csv,583,0.7187609585,0.7307130333,0.7273524255,0.722150789,0.7273232028,0.7220046756,0.7188486265,0.7099941555,0.7274693162,0.7151373466,0.72198,0.00645
dataset_1485.csv,2600,0.8953846154,0.8980769231,0.8919230769,0.8961538462,0.8957692308,0.9007692308,0.8961538462,0.8996153846,0.8973076923,0.8930769231,0.89642,0.00270
dataset_1486.csv,34465,0.9620484289,0.9620192498,0.9622516387,0.9621645392,0.9618452191,0.9619033416,0.9619615735,0.9621065935,0.9620484289,0.9621067029,0.96205,0.00012
dataset_1487.csv,2534,0.9479085618,0.9479116741,0.9463275342,0.9475101926,0.9479023373,0.9486944073,0.9459322772,0.9471227164,0.9475133049,0.9483022626,0.94751,0.00085
dataset_1468.csv,1080,0.9592592593,0.9546296296,0.9564814815,0.9546296296,0.9564814815,0.9574074074,0.9592592593,0.9555555556,0.9583333333,0.9611111111,0.95731,0.00216
dataset_1475.csv,6118,0.6106572853,0.6088604345,0.6093530375,0.6109880941,0.6106580876,0.612452264,0.6113116823,0.6093522352,0.6100034231,0.6093522352,0.61030,0.00112
dataset_1462.csv,1372,1,1,1,1,1,1,1,1,1,1,1.00000,0.00000
dataset_1464.csv,748,0.7861081081,0.7874414414,0.7901081081,0.790036036,0.7953693694,0.7926846847,0.7915495495,0.7874234234,0.7887927928,0.7888288288,0.78983,0.00278
dataset_4534.csv,11055,0.9668936202,0.966531711,0.9687935817,0.967073961,0.9677980248,0.9670742883,0.9671647042,0.9665316292,0.9684306089,0.9687919452,0.96751,0.00088
dataset_1461.csv,45211,0.9109066922,0.9104199812,0.9107297695,0.9108845634,0.9099113958,0.9105527833,0.9108624395,0.9103314123,0.9103094205,0.91097301,0.91059,0.00034
dataset_4538.csv,9873,0.7275369274,0.7276428592,0.734021736,0.7312866864,0.72956891,0.7319947783,0.7278459036,0.729567782,0.7276397828,0.7322970889,0.72994,0.00234
dataset_1478.csv,10299,0.993009237,0.9933004991,0.9933001217,0.9933001217,0.9929116778,0.9935913838,0.9934943908,0.9933973978,0.9933973978,0.9932035061,0.99329,0.00021
dataset_40966.csv,1080,1,1,1,1,1,1,1,1,1,1,1.00000,0.00000
dataset_40982.csv,1941,0.8423632038,0.8475099128,0.8459529474,0.8464684113,0.8459529474,0.8490404441,0.8423367698,0.8444144859,0.8423499868,0.8469918054,0.84534,0.00238
dataset_40994.csv,540,0.9574074074,0.95,0.9537037037,0.9555555556,0.9537037037,0.9574074074,0.95,0.95,0.9592592593,0.9574074074,0.95444,0.00351
dataset_40983.csv,4839,0.9890487312,0.9886342248,0.9886346526,0.9888404086,0.9888404086,0.9890470202,0.9886333693,0.9890457369,0.9884271855,0.9888412641,0.98880,0.00021
dataset_40975.csv,1728,0.9843594569,0.9895819331,0.9855121656,0.987847829,0.9855390509,0.987847829,0.9884292244,0.9895886544,0.9872597123,0.9872765157,0.98732,0.00174
dataset_40984.csv,2310,0.9506493506,0.9510822511,0.9506493506,0.9515151515,0.9519480519,0.9471861472,0.9497835498,0.9489177489,0.9480519481,0.9506493506,0.95004,0.00154
dataset_40979.csv,2000,0.98,0.979,0.979,0.98,0.979,0.9775,0.9785,0.9775,0.9785,0.978,0.97870,0.00089
dataset_41027.csv,44819,0.8765033951,0.881390712,0.8886411972,0.8911392302,0.8714605552,0.874204811,0.8865429533,0.8698542092,0.8974087777,0.8705012567,0.88076,0.00973
dataset_40978.csv,3279,0.9762148505,0.9762101887,0.9771266876,0.9756022973,0.978039457,0.9768236742,0.977740173,0.9804840755,0.9768246065,0.9755995003,0.97707,0.00145
dataset_40670.csv,3186,0.9654738668,0.9657863607,0.966091954,0.9657903038,0.9670452081,0.9657873465,0.9645294848,0.9660978687,0.9645363853,0.9657883322,0.96569,0.00074
dataset_40701.csv,5000,0.9648,0.9646,0.967,0.9674,0.967,0.9678,0.9664,0.9652,0.9658,0.9666,0.96626,0.00111
