Dataset,Samples,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,AVG,STD
dataset_3.csv,3196,0.9946845611,0.9940585815,0.9943681426,0.9946777038,0.9949951019,0.9949951019,0.9946816223,0.994367163,0.9940556426,0.9949902038,0.99459,0.00036
dataset_11.csv,625,0.8752688172,0.8848182284,0.88484383,0.8944444444,0.8831797235,0.903968254,0.880030722,0.88640553,0.8703533026,0.8831285202,0.88464,0.00937
dataset_12.csv,2000,0.9665,0.964,0.9625,0.9635,0.963,0.963,0.9655,0.9645,0.965,0.966,0.96435,0.00138
dataset_14.csv,2000,0.8405,0.8355,0.8375,0.8375,0.8415,0.8385,0.8375,0.845,0.833,0.8375,0.83840,0.00331
dataset_15.csv,699,0.9541200828,0.9599171843,0.9599585921,0.9642650104,0.95563147,0.9599378882,0.9585093168,0.9599585921,0.9571014493,0.9642443064,0.95936,0.00327
dataset_16.csv,2000,0.957,0.957,0.9625,0.9555,0.9575,0.96,0.9535,0.9545,0.9575,0.956,0.95710,0.00261
dataset_18.csv,2000,0.695,0.6875,0.683,0.6805,0.6855,0.6945,0.69,0.681,0.6885,0.679,0.68645,0.00567
dataset_22.csv,2000,0.7825,0.7855,0.784,0.786,0.794,0.7905,0.785,0.789,0.784,0.7835,0.78640,0.00364
dataset_23.csv,1473,0.4894649752,0.5003631182,0.5030290495,0.5105074462,0.5064487957,0.5016960838,0.5071658393,0.5016501195,0.5112152969,0.5017144696,0.50333,0.00621
dataset_28.csv,5620,0.9807829181,0.9804270463,0.9807829181,0.9784697509,0.9816725979,0.9814946619,0.9800711744,0.9793594306,0.9806049822,0.9809608541,0.98046,0.00096
dataset_31.csv,1000,0.756,0.748,0.746,0.765,0.764,0.755,0.742,0.741,0.763,0.767,0.75470,0.00991
dataset_32.csv,10992,0.9909030524,0.9902649516,0.9904475143,0.9907207379,0.9906294152,0.9910842088,0.991176276,0.9905382579,0.9907202415,0.9909935479,0.99075,0.00029
dataset_37.csv,768,0.7265208476,0.7369446343,0.7383629528,0.7316302119,0.7304169515,0.7330485304,0.7266404648,0.7331339713,0.7149008886,0.7188311688,0.72904,0.00751
dataset_44.csv,4601,0.9565339998,0.9560996888,0.9543582005,0.9556625483,0.9541393945,0.955226351,0.9571805149,0.9541389229,0.9576171838,0.9569664246,0.95579,0.00130
dataset_46.csv,3190,0.9598746082,0.9626959248,0.9601880878,0.9605015674,0.9623824451,0.960815047,0.9636363636,0.9614420063,0.9611285266,0.9623824451,0.96150,0.00123
dataset_50.csv,958,0.9989583333,1,1,1,0.9979057018,1,0.996875,0.996875,1,1,0.99906,0.00134
dataset_54.csv,846,0.7684033613,0.7625210084,0.7789355742,0.758837535,0.7789355742,0.7718767507,0.761302521,0.7601820728,0.7777871148,0.7482352941,0.76670,0.01024
dataset_151.csv,45312,0.9331965407,0.9325124235,0.93414532,0.9320268113,0.9342336835,0.9320048726,0.9325564713,0.9322918093,0.9329539732,0.9329978263,0.93289,0.00079
dataset_182.csv,6430,0.9236391913,0.9227060653,0.9216174184,0.9223950233,0.9231726283,0.9225505443,0.9222395023,0.9233281493,0.9217729393,0.9247278383,0.92281,0.00093
dataset_188.csv,736,0.6495001851,0.6669196594,0.6889115143,0.664309515,0.6524065161,0.6522769345,0.669844502,0.661514254,0.6673084043,0.6507589782,0.66238,0.01207
dataset_458.csv,841,0.9869327731,0.9881092437,0.9916806723,0.9857282913,0.9857282913,0.9904901961,0.9869187675,0.9904761905,0.9904901961,0.9893277311,0.98859,0.00219
dataset_469.csv,797,0.1906962025,0.193306962,0.2058227848,0.2082753165,0.2058227848,0.198306962,0.1743512658,0.1920253165,0.1932594937,0.2034177215,0.19653,0.01016
dataset_1049.csv,1458,0.9101464336,0.9094803968,0.9135852622,0.912909778,0.912881436,0.9060510156,0.9094378838,0.9190647142,0.9094709495,0.9094756731,0.91125,0.00354
dataset_1050.csv,1563,0.8899354891,0.8912257064,0.8931324514,0.8931569492,0.891866732,0.8880573248,0.9008247591,0.891866732,0.8886697697,0.893781643,0.89225,0.00357
dataset_1053.csv,10885,0.8108409462,0.8099217442,0.811945913,0.807166248,0.8101062429,0.8099236854,0.8109336176,0.8096483721,0.8114844974,0.8109321828,0.81029,0.00132
dataset_1063.csv,522,0.8371190131,0.8410014514,0.8411465893,0.8351596517,0.8391872279,0.8428519594,0.829245283,0.8313134978,0.8275399129,0.8217343977,0.83463,0.00695
dataset_1067.csv,2109,0.8539697585,0.8629609569,0.8605958023,0.8577612277,0.8591582036,0.8596637328,0.8473211465,0.8558587226,0.8596501918,0.8572782668,0.85742,0.00435
dataset_1068.csv,1109,0.9296560197,0.9341932842,0.9332678133,0.9296805897,0.926953317,0.9287878788,0.9305733006,0.9278787879,0.9332923833,0.9323669124,0.93067,0.00250
dataset_4134.csv,3751,0.8056595745,0.7981879433,0.8021758865,0.8059170213,0.7997900709,0.7987219858,0.8021858156,0.8040539007,0.8037907801,0.8045829787,0.80251,0.00280
dataset_1510.csv,569,0.9631578947,0.9753759398,0.96660401,0.96660401,0.9788220551,0.9649122807,0.970112782,0.968358396,0.9665726817,0.9700501253,0.96906,0.00481
dataset_1489.csv,5404,0.9046977477,0.9028462381,0.906364072,0.9015523379,0.906367495,0.9037714794,0.9030348463,0.905255357,0.906559184,0.9069216814,0.90474,0.00186
dataset_1494.csv,1055,0.8644294699,0.8606019766,0.8740251572,0.8643845463,0.8711500449,0.8720305481,0.8786702606,0.8607367475,0.8615902965,0.8644474394,0.86721,0.00630
dataset_1497.csv,5456,0.9970679168,0.9963332997,0.997251067,0.9968837584,0.9970679168,0.9968834224,0.9972503949,0.9972497228,0.9972520751,0.9972500588,0.99705,0.00029
dataset_1501.csv,1593,0.9284591195,0.9271933962,0.9271619497,0.9240487421,0.9309237421,0.9309827044,0.922802673,0.9252790881,0.9221540881,0.9284630503,0.92675,0.00312
