Dataset,Samples,Features,R2_NoShuffle,R2_Shuffle
dataset_44993.csv,22272,11,0.4046684920787811,0.4043286144733429
dataset_44967.csv,649,30,0.2738488852977753,0.2354776501655578
dataset_44994.csv,804,17,0.9544623881624148,0.9559564677449311
dataset_45012.csv,19178,28,0.7075655537405092,0.7095835303341584
dataset_44957.csv,1503,5,0.9816343754196312,0.981573116111428
dataset_44983.csv,13932,15,0.928191109886999,0.9283922082066292
dataset_44960.csv,768,8,0.9983455195805568,0.998257201519151
dataset_44980.csv,8192,8,0.9321096972872234,0.9315694824665504
dataset_44959.csv,1030,8,0.9434150091197564,0.9497971146809624
dataset_44990.csv,10692,9,0.6941425444758859,0.6331607435300692
dataset_44963.csv,45730,9,0.72373272159479,0.7243139066165831
dataset_44992.csv,24624,43,0.9987353954960784,0.9987474764107648
dataset_44958.csv,2043,7,0.994585386875034,0.9941988298376072
dataset_44989.csv,21613,21,0.8985406436743121,0.8977193525563821
dataset_44962.csv,517,12,-0.0356139074162965,-0.0853455444670533
dataset_44979.csv,53940,9,0.9832863207383852,0.983342837546488
dataset_44976.csv,48933,21,0.9870030489225156,0.9870404475296785
dataset_44973.csv,10000,12,0.9756914567698628,0.9759101226967276
dataset_44956.csv,4177,8,0.5855979919433594,0.5866886675357819
dataset_44965.csv,1059,116,0.3811310314418768,0.3620153636449269
dataset_44978.csv,8192,21,0.9789514124393464,0.9791301727294922
dataset_44969.csv,11934,14,0.9999008808119564,0.9999007754856984
dataset_44977.csv,20640,8,0.8717178811322566,0.868515592036719
dataset_44970.csv,908,6,0.6453874936866575,0.6512403893784565
dataset_41021.csv,1232,14,0.9471591949462892,0.9472718060016632
dataset_44964.csv,21263,81,0.928564630624815,0.928603448753528
dataset_44981.csv,8192,32,0.6591677713283549,0.6583587503276992
dataset_44987.csv,1156,5,0.8758839799586386,0.8981722540463976
dataset_45402.csv,3107,6,0.7811145681265692,0.7829983076436152
dataset_44984.csv,28155,6,0.302606581938848,0.2981420444570481
