Dataset,Samples,Features,Avg Accuracy_NoShuffle,Avg Accuracy_Shuffle
dataset_40994.csv,540,18,0.95,0.9574074074074076
dataset_12.csv,2000,216,0.9815,0.98
dataset_1462.csv,1372,4,1.0,1.0
dataset_1497.csv,5456,24,0.9917505124844576,0.9908344255133246
dataset_4534.csv,11055,30,0.9669836269463968,0.9668936201549754
dataset_28.csv,5620,64,0.9873665480427044,0.9870106761565836
dataset_1468.csv,1080,856,0.9564814814814816,0.9592592592592594
dataset_40982.csv,1941,27,0.8443933386201428,0.8423632038065026
dataset_14.csv,2000,76,0.892,0.8854999999999998
dataset_1494.csv,1055,41,0.8824977538185086,0.8767205750224617
dataset_23.csv,1473,9,0.5620656370656371,0.5566556352270637
dataset_44.csv,4601,57,0.9584881637272472,0.9602263510327268
dataset_54.csv,846,18,0.8723949579831933,0.8581792717086835
dataset_40984.csv,2310,16,0.948051948051948,0.9506493506493509
dataset_458.csv,841,70,1.0,1.0
dataset_1464.csv,748,4,0.7901081081081082,0.786108108108108
dataset_151.csv,45312,8,0.8755736494479629,0.8762579614825631
dataset_40979.csv,2000,240,0.98,0.98
dataset_1489.csv,5404,5,0.915436092284521,0.9170989936331896
dataset_1478.csv,10299,561,0.9931060413069528,0.993009236981894
dataset_22.csv,2000,47,0.8779999999999999,0.8835000000000001
dataset_1475.csv,6118,51,0.6124474503385643,0.610657285281816
dataset_1053.csv,10885,21,0.8149745280343543,0.8139644270242533
dataset_188.csv,736,19,0.729544613106257,0.7296001480932988
dataset_37.csv,768,8,0.7642515379357484,0.7630041011619959
dataset_1068.csv,1109,21,0.9413923013923016,0.9368877968877968
dataset_32.csv,10992,16,0.9964518984200514,0.996725039291918
dataset_1510.csv,569,30,0.9771616541353384,0.9735902255639096
dataset_1486.csv,34465,118,0.9621646233714716,0.9620484288995405
dataset_1501.csv,1593,256,0.9378537735849056,0.9410141509433962
dataset_15.csv,699,9,0.967080745341615,0.9656521739130436
dataset_18.csv,2000,6,0.759,0.758
dataset_1480.csv,583,10,0.7169199298655757,0.718760958503799
dataset_1461.csv,45211,16,0.9107075380007066,0.9109066921568336
dataset_1050.csv,1563,37,0.8963498285154335,0.8957128858402743
dataset_1063.csv,522,21,0.8488388969521046,0.8429608127721335
dataset_11.csv,625,4,0.9711725550435228,0.9743983614951356
dataset_1049.csv,1458,37,0.9176995748700992,0.9231979215871516
dataset_3.csv,3196,36,0.9943671630094044,0.9937431426332288
dataset_1487.csv,2534,72,0.949489589493013,0.9479085618250288
dataset_469.csv,797,4,0.1957120253164557,0.2094778481012658
dataset_40701.csv,5000,20,0.9657999999999998,0.9648
dataset_40978.csv,3279,1558,0.9792589691951968,0.9762148504512568
dataset_16.csv,2000,64,0.982,0.9805
dataset_40499.csv,5500,40,,
dataset_4134.csv,3751,1776,0.7693943262411348,0.7701929078014185
dataset_1485.csv,2600,500,0.8969230769230767,0.8953846153846154
dataset_40983.csv,4839,5,0.9888412641377068,0.9890487312424072
dataset_182.csv,6430,36,0.9325038880248832,0.9321928460342146
dataset_4538.csv,9873,32,0.7287567322561723,0.7275369274249452
dataset_41027.csv,44819,6,0.8913177468733323,0.8765033951173287
dataset_40966.csv,1080,77,1.0,1.0
dataset_40670.csv,3186,180,0.9657824175390862,0.9654738668401648
dataset_40975.csv,1728,6,0.9838083075682214,0.9843594569162522
dataset_31.csv,1000,20,0.7559999999999999,0.7570000000000001
dataset_50.csv,958,9,0.985372807017544,0.9853947368421052
dataset_1067.csv,2109,21,0.8629632137215075,0.8667546829158204
dataset_46.csv,3190,60,0.9692789968652036,0.9699059561128524
